repoName,repoCreatedAt,totalCommits,totalContribuors,commits
mastery-frontend,2019-05-15T20:56:45Z,69,45,"[{""author"":""dhoffman84"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":1,""deletions"":1,""commitCount"":1}]},{""author"":""manojbollineni"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":77,""deletions"":413,""commitCount"":1}]},{""author"":""mastery-samruddhi-kale"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":400,""deletions"":6,""commitCount"":1}]},{""author"":""extsarveshkumar"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":74,""deletions"":61,""commitCount"":1}]},{""author"":""mastery-ankush-soni"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":8,""deletions"":6,""commitCount"":1}]},{""author"":""mastery-sanjivani-patil"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":431,""deletions"":182,""commitCount"":1}]},{""author"":""Vikram-Dwarampudi"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":120,""deletions"":63,""commitCount"":1}]},{""author"":""coreylight"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":7,""deletions"":6,""commitCount"":1},{""committedDate"":""2022-09-08"",""additions"":164,""deletions"":167,""commitCount"":4},{""committedDate"":""2022-09-07"",""additions"":17,""deletions"":10,""commitCount"":2},{""committedDate"":""2022-09-06"",""additions"":187,""deletions"":2,""commitCount"":1}]},{""author"":""manisankarn"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":1128,""deletions"":677,""commitCount"":1},{""committedDate"":""2022-09-03"",""additions"":652,""deletions"":84,""commitCount"":1}]},{""author"":""spencer-prentiss-mastery"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":3529,""deletions"":1,""commitCount"":1},{""committedDate"":""2022-09-07"",""additions"":319,""deletions"":0,""commitCount"":1}]},{""author"":""mastery-vikas-srivastava"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":223,""deletions"":9,""commitCount"":1},{""committedDate"":""2022-09-07"",""additions"":3,""deletions"":2,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":16,""deletions"":1,""commitCount"":1}]},{""author"":""GaddepoguPrashanthi"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":48,""deletions"":47,""commitCount"":1}]},{""author"":""mastery-nitish-singh"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":6,""deletions"":4,""commitCount"":1}]},{""author"":""mastery-prasad-kadu"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":27,""deletions"":7,""commitCount"":1}]},{""author"":""mastery-vikas-more"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":5,""deletions"":3,""commitCount"":1}]},{""author"":""ryancouch"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":74,""deletions"":49,""commitCount"":1}]},{""author"":""vinayswaroop-v"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":7,""deletions"":2,""commitCount"":1},{""committedDate"":""2022-09-07"",""additions"":26,""deletions"":20,""commitCount"":1},{""committedDate"":""2022-09-06"",""additions"":18,""deletions"":0,""commitCount"":1}]},{""author"":""archulasaipriyanka"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":365,""deletions"":73,""commitCount"":1}]},{""author"":""mastery-anjali-bangar"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":167,""deletions"":31,""commitCount"":1}]},{""author"":""Mayurpsatpute"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":29,""deletions"":21,""commitCount"":1},{""committedDate"":""2022-09-06"",""additions"":36,""deletions"":24,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":74,""deletions"":26,""commitCount"":1}]},{""author"":""EswarTejaM"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":833,""deletions"":16,""commitCount"":1}]},{""author"":""riley-pikus"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":4,""deletions"":6,""commitCount"":1}]},{""author"":""peterbuilt4"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":40,""deletions"":49,""commitCount"":1}]},{""author"":""nirmal-mastery"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":9,""deletions"":0,""commitCount"":1}]},{""author"":""mastery-chirag-makadiya"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":16,""deletions"":2,""commitCount"":2},{""committedDate"":""2022-09-02"",""additions"":13,""deletions"":13,""commitCount"":1}]},{""author"":""mastery-sarth-divate"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":112,""deletions"":14,""commitCount"":2}]},{""author"":""mastery-rajashekar"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":3,""deletions"":1,""commitCount"":1}]},{""author"":""mastery-sunny-prakash"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":18,""deletions"":0,""commitCount"":1}]},{""author"":""RandomRaine"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":2,""deletions"":1,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":691,""deletions"":64,""commitCount"":2}]},{""author"":""coledoster"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":591,""deletions"":72,""commitCount"":1}]},{""author"":""mastery-bhavana-pansare"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":289,""deletions"":1,""commitCount"":1}]},{""author"":""VamsiChapa"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":312,""deletions"":59,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":372,""deletions"":21,""commitCount"":1}]},{""author"":""shafali11"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":264,""deletions"":101,""commitCount"":1}]},{""author"":""MagieMaday"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":4,""deletions"":3,""commitCount"":1}]},{""author"":""mastery-sadiya-khan"",""commits"":[{""committedDate"":""2022-09-05"",""additions"":3,""deletions"":1,""commitCount"":1}]},{""author"":""mayank-desai-mastery"",""commits"":[{""committedDate"":""2022-09-03"",""additions"":56,""deletions"":31,""commitCount"":1}]},{""author"":""timclaason"",""commits"":[{""committedDate"":""2022-09-03"",""additions"":6,""deletions"":0,""commitCount"":1}]},{""author"":""DeepaGottipamula"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":1776,""deletions"":190,""commitCount"":1}]},{""author"":""vinodKumarBhavana"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":28,""deletions"":78,""commitCount"":1}]},{""author"":""thoomulasandeep"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":94,""deletions"":30,""commitCount"":3}]},{""author"":""AnilMastery"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":253,""deletions"":4,""commitCount"":1}]},{""author"":""mastery-vishal-kori"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":7,""deletions"":2,""commitCount"":2}]},{""author"":""mastery-laxman-narhare"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":52,""deletions"":17,""commitCount"":1}]},{""author"":""mastery-vidhya-patel"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":7,""deletions"":4,""commitCount"":1}]},{""author"":""mastery-henal-merchant"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":41,""deletions"":22,""commitCount"":1}]}]"
mastermind-release,2020-11-19T17:49:32Z,493,50,"[{""author"":""masterybot"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":311,""deletions"":238,""commitCount"":37},{""committedDate"":""2022-09-08"",""additions"":401,""deletions"":373,""commitCount"":74},{""committedDate"":""2022-09-07"",""additions"":675,""deletions"":510,""commitCount"":120},{""committedDate"":""2022-09-06"",""additions"":489,""deletions"":475,""commitCount"":57},{""committedDate"":""2022-09-05"",""additions"":54,""deletions"":54,""commitCount"":26},{""committedDate"":""2022-09-03"",""additions"":85,""deletions"":85,""commitCount"":14},{""committedDate"":""2022-09-02"",""additions"":524,""deletions"":524,""commitCount"":78}]},{""author"":""mattheiler"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":46,""deletions"":110,""commitCount"":1},{""committedDate"":""2022-09-08"",""additions"":418,""deletions"":6,""commitCount"":2},{""committedDate"":""2022-09-02"",""additions"":96,""deletions"":80,""commitCount"":1}]},{""author"":""mastery-nathan-fischer"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":10,""deletions"":0,""commitCount"":1}]},{""author"":""mastery-aakash-kannojiya"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":15,""deletions"":1,""commitCount"":1}]},{""author"":""mastery-vishal-singh"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":1045,""deletions"":441,""commitCount"":2},{""committedDate"":""2022-09-08"",""additions"":1,""deletions"":0,""commitCount"":1},{""committedDate"":""2022-09-07"",""additions"":220,""deletions"":107,""commitCount"":1}]},{""author"":""mastery-vijay-waghmare"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":16,""deletions"":6,""commitCount"":1},{""committedDate"":""2022-09-07"",""additions"":72,""deletions"":2,""commitCount"":1}]},{""author"":""mastery-shweta-deshmukh"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":52,""deletions"":10,""commitCount"":1}]},{""author"":""sethgupton-mastery"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":2,""deletions"":155,""commitCount"":1},{""committedDate"":""2022-09-07"",""additions"":3,""deletions"":42,""commitCount"":2}]},{""author"":""hwharrison"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":2,""deletions"":2,""commitCount"":1},{""committedDate"":""2022-09-08"",""additions"":3,""deletions"":1,""commitCount"":1}]},{""author"":""mls-will"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":3617,""deletions"":13,""commitCount"":1}]},{""author"":""RyanMallette"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":62,""deletions"":14,""commitCount"":2}]},{""author"":""phil-thelen-mls"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":19,""deletions"":108,""commitCount"":1},{""committedDate"":""2022-09-08"",""additions"":2,""deletions"":23,""commitCount"":1},{""committedDate"":""2022-09-07"",""additions"":23,""deletions"":2,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":2,""deletions"":1,""commitCount"":1}]},{""author"":""Armstr44"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":7,""deletions"":3,""commitCount"":1}]},{""author"":""mikehkaiser"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":1,""deletions"":1,""commitCount"":1}]},{""author"":""JoshWolfson"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":3,""deletions"":0,""commitCount"":1},{""committedDate"":""2022-09-06"",""additions"":30,""deletions"":9,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":8,""deletions"":2,""commitCount"":1}]},{""author"":""mastery-dhananjay-jadhav"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":1,""deletions"":3,""commitCount"":2},{""committedDate"":""2022-09-02"",""additions"":25,""deletions"":11,""commitCount"":2}]},{""author"":""mastery-alexander-koumarianos"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":3,""deletions"":1,""commitCount"":1},{""committedDate"":""2022-09-07"",""additions"":19,""deletions"":7,""commitCount"":2}]},{""author"":""extsarveshkumar"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":1,""deletions"":1,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":3,""deletions"":1,""commitCount"":1}]},{""author"":""CullenOle"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":87,""deletions"":1276,""commitCount"":2}]},{""author"":""mastery-nikhil-fegade"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":9,""deletions"":12,""commitCount"":1}]},{""author"":""brad-lifford"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":21,""deletions"":3,""commitCount"":2}]},{""author"":""mastery-atul-ahire"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":64,""deletions"":8,""commitCount"":1},{""committedDate"":""2022-09-07"",""additions"":8,""deletions"":8,""commitCount"":1}]},{""author"":""mastery-suraj-katare"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":4,""deletions"":4,""commitCount"":1}]},{""author"":""mastery-Anagha-Nandanwar"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":3,""deletions"":0,""commitCount"":1}]},{""author"":""adanyal-mastery"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":2,""deletions"":2,""commitCount"":1},{""committedDate"":""2022-09-07"",""additions"":8,""deletions"":4,""commitCount"":2}]},{""author"":""swhitake81"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":1116,""deletions"":0,""commitCount"":1}]},{""author"":""devinaweMastery"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":2,""deletions"":0,""commitCount"":1}]},{""author"":""ash-shepard"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":161,""deletions"":2555,""commitCount"":1}]},{""author"":""ramyasreenadiminti"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":0,""deletions"":23,""commitCount"":2}]},{""author"":""mastery-hemanth-savvana"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":1,""deletions"":1,""commitCount"":1}]},{""author"":""alexpojman"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":24,""deletions"":0,""commitCount"":1}]},{""author"":""mastery-neha-chavan"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":1,""deletions"":2,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":3,""deletions"":1,""commitCount"":1}]},{""author"":""mastery-vidhya-patel"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":1,""deletions"":4,""commitCount"":1},{""committedDate"":""2022-09-06"",""additions"":6,""deletions"":0,""commitCount"":1}]},{""author"":""mastery-pranav-kikaganesh"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":4,""deletions"":0,""commitCount"":2}]},{""author"":""jay-kagita"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":42,""deletions"":1,""commitCount"":1}]},{""author"":""mdabbaghMLS"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":33,""deletions"":33,""commitCount"":2}]},{""author"":""hersman"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":34,""deletions"":10,""commitCount"":1}]},{""author"":""mattnohelty-mastery"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":2,""deletions"":2,""commitCount"":1}]},{""author"":""brannonh"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":5,""deletions"":4,""commitCount"":2}]},{""author"":""hannahmcdoniel"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":1,""deletions"":1,""commitCount"":1}]},{""author"":""immutablesemaphore"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":1,""deletions"":1,""commitCount"":1}]},{""author"":""mastery-salil-juwarkar"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":13,""deletions"":3,""commitCount"":1}]},{""author"":""mastery-prachi-karmalkar"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":2,""deletions"":0,""commitCount"":1},{""committedDate"":""2022-09-05"",""additions"":8,""deletions"":8,""commitCount"":2},{""committedDate"":""2022-09-02"",""additions"":25,""deletions"":8,""commitCount"":2}]},{""author"":""mastery-shubham-thorat"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":211,""deletions"":0,""commitCount"":1}]},{""author"":""sarthakpe"",""commits"":[{""committedDate"":""2022-09-05"",""additions"":12,""deletions"":0,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":4,""deletions"":4,""commitCount"":1}]},{""author"":""mastery-sai-kumar"",""commits"":[{""committedDate"":""2022-09-05"",""additions"":4,""deletions"":0,""commitCount"":1}]},{""author"":""mastery-raj-hawaldar"",""commits"":[{""committedDate"":""2022-09-05"",""additions"":2,""deletions"":2,""commitCount"":1}]},{""author"":""joshuajones02"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":433,""deletions"":40,""commitCount"":1}]},{""author"":""mastery-shubhangi-ambapkar"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":4,""deletions"":4,""commitCount"":1}]},{""author"":""mastery-goraknath-khule"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":10,""deletions"":5,""commitCount"":1}]}]"
api-developer-portal,2021-02-17T19:48:46Z,2,1,"[{""author"":""JohnBarhorst-mastery"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":0,""deletions"":0,""commitCount"":2}]}]"
miso,2020-04-14T14:48:36Z,9,6,"[{""author"":""mbehringerMLS"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":8,""deletions"":0,""commitCount"":1}]},{""author"":""cg-mls"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":71,""deletions"":21,""commitCount"":2},{""committedDate"":""2022-09-07"",""additions"":73,""deletions"":101,""commitCount"":1}]},{""author"":""ConnorStutsrim"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":30,""deletions"":2,""commitCount"":2}]},{""author"":""mastery-aakash-kannojiya"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":4,""deletions"":0,""commitCount"":1}]},{""author"":""omrigoldenberg"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":116,""deletions"":41,""commitCount"":1}]},{""author"":""mastery-priyanka-lonkar"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":18,""deletions"":12,""commitCount"":1}]}]"
mastery-accounting,2020-01-07T15:20:47Z,74,13,"[{""author"":""mastery-naman-jain"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":597,""deletions"":394,""commitCount"":1}]},{""author"":""mbehringerMLS"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":1309,""deletions"":290,""commitCount"":2},{""committedDate"":""2022-09-07"",""additions"":378,""deletions"":135,""commitCount"":2},{""committedDate"":""2022-09-06"",""additions"":2095,""deletions"":630,""commitCount"":4},{""committedDate"":""2022-09-02"",""additions"":2,""deletions"":0,""commitCount"":2}]},{""author"":""mastery-sonam-awasthi"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":672,""deletions"":54,""commitCount"":1}]},{""author"":""aapadilla"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":547,""deletions"":224,""commitCount"":9},{""committedDate"":""2022-09-07"",""additions"":940,""deletions"":235,""commitCount"":2}]},{""author"":""mastery-dhanesh-chaudhary"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":367,""deletions"":129,""commitCount"":1}]},{""author"":""mastery-yogendra-pawar"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":657,""deletions"":269,""commitCount"":4},{""committedDate"":""2022-09-07"",""additions"":479,""deletions"":224,""commitCount"":5},{""committedDate"":""2022-09-06"",""additions"":338,""deletions"":87,""commitCount"":2},{""committedDate"":""2022-09-05"",""additions"":3,""deletions"":3,""commitCount"":1}]},{""author"":""dvmastery"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":64,""deletions"":58,""commitCount"":5}]},{""author"":""davezieglermls"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":20041,""deletions"":14826,""commitCount"":3},{""committedDate"":""2022-09-07"",""additions"":376,""deletions"":138,""commitCount"":3}]},{""author"":""mastery-nikhil-jagade"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":372,""deletions"":136,""commitCount"":3},{""committedDate"":""2022-09-06"",""additions"":2979,""deletions"":765,""commitCount"":6},{""committedDate"":""2022-09-05"",""additions"":51,""deletions"":58,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":0,""deletions"":10,""commitCount"":1}]},{""author"":""danahoppe"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":353,""deletions"":99,""commitCount"":4},{""committedDate"":""2022-09-06"",""additions"":10,""deletions"":9,""commitCount"":1}]},{""author"":""mastery-jeetender-verma"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":332,""deletions"":86,""commitCount"":1},{""committedDate"":""2022-09-05"",""additions"":4,""deletions"":0,""commitCount"":2},{""committedDate"":""2022-09-02"",""additions"":470,""deletions"":43,""commitCount"":4}]},{""author"":""dhoffman84"",""commits"":[{""committedDate"":""2022-09-03"",""additions"":4,""deletions"":0,""commitCount"":2}]},{""author"":""mastery-Yesha-Sanghvi"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":337,""deletions"":12,""commitCount"":2}]}]"
bookings-api,2021-01-04T19:48:32Z,17,6,"[{""author"":""mastery-rajarshi-dube"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":702,""deletions"":27,""commitCount"":1},{""committedDate"":""2022-09-07"",""additions"":1039,""deletions"":34,""commitCount"":1}]},{""author"":""tyler-mastery"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":8,""deletions"":5,""commitCount"":2},{""committedDate"":""2022-09-08"",""additions"":56,""deletions"":73,""commitCount"":3},{""committedDate"":""2022-09-07"",""additions"":23,""deletions"":16,""commitCount"":2}]},{""author"":""mastery-dhananjay-shinde"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":8,""deletions"":1,""commitCount"":1},{""committedDate"":""2022-09-06"",""additions"":986,""deletions"":43,""commitCount"":1}]},{""author"":""mastery-vaibhav-gupta"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":11,""deletions"":11,""commitCount"":1}]},{""author"":""dependabot[bot]"",""commits"":[{""committedDate"":""2022-09-03"",""additions"":4,""deletions"":4,""commitCount"":1}]},{""author"":""RyanMallette"",""commits"":[{""committedDate"":""2022-09-03"",""additions"":48,""deletions"":28,""commitCount"":2},{""committedDate"":""2022-09-02"",""additions"":143,""deletions"":116,""commitCount"":2}]}]"
security-team,2021-06-18T16:43:27Z,0,0,[]
lachesis,2020-06-23T17:37:16Z,0,0,[]
lachesis-ts-fastify-template,2020-08-25T19:04:40Z,0,0,[]
terraform-mastery-admin,2021-04-19T18:04:04Z,18,3,"[{""author"":""bschoenhardt"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":4,""deletions"":3,""commitCount"":1},{""committedDate"":""2022-09-08"",""additions"":8,""deletions"":1,""commitCount"":2},{""committedDate"":""2022-09-07"",""additions"":7,""deletions"":2,""commitCount"":4},{""committedDate"":""2022-09-06"",""additions"":2,""deletions"":0,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":5,""deletions"":0,""commitCount"":2}]},{""author"":""MDavis1990"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":1,""deletions"":0,""commitCount"":1},{""committedDate"":""2022-09-06"",""additions"":20,""deletions"":0,""commitCount"":1}]},{""author"":""sean-mcginn"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":874,""deletions"":1126,""commitCount"":6}]}]"
